url,zip_code,city,type_of_property,subtype_of_property,price,type_of_sale,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_the_land,number_of_facades,swimming_pool,state_of_the_building,region,region_Brussels,region_Flanders,region_Wallonia,property_type_Apartment,property_type_House,property_subtype_apartment,property_subtype_bungalow,property_subtype_chalet,property_subtype_cottage,property_subtype_duplex,property_subtype_ground-floor,property_subtype_loft,property_subtype_mansion,property_subtype_master-house,property_subtype_mixed-building,property_subtype_penthouse,property_subtype_residence,property_subtype_studio,property_subtype_triplex,property_subtype_villa,sale_type_for sale,sale_type_in public sale,price_sqm
https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbd95088,4020,Liege,Apartment,apartment,239000,for sale,2,94,1,0,0,1,15,0,0,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2543
https://immovlan.be/en/detail/residence/for-sale/1030/schaarbeek/vbd94088,1030,Schaarbeek,House,residence,1200000,for sale,5,452,3,0,0,1,20,1,295,515,2,0,0,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2655
https://immovlan.be/en/detail/penthouse/for-sale/1150/sint-pieters-woluwe/vbd84734,1150,Sint-Pieters-Woluwe,Apartment,penthouse,795000,for sale,3,165,1,0,0,1,36,0,0,500,3,0,2,Brussels,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,4818
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd56577,1030,Schaarbeek,Apartment,apartment,255000,for sale,2,84,1,0,0,1,4,0,0,500,2,0,0,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3036
https://immovlan.be/en/detail/residence/for-sale/5170/profondeville/vbd92261,5170,Profondeville,House,residence,426110,for sale,3,190,1,0,0,0,27,1,490,1164,4,0,4,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2243
https://immovlan.be/en/detail/residence/for-sale/1030/schaarbeek/vbd54600,1030,Schaarbeek,House,residence,2100000,for sale,5,536,1,0,1,1,20,1,99,208,2,0,2,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3918
https://immovlan.be/en/detail/residence/for-sale/4540/amay/vbd94527,4540,Amay,House,residence,299000,for sale,2,269,1,0,0,1,27,1,490,639,4,0,2,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1112
https://immovlan.be/en/detail/residence/for-sale/2480/dessel/rbv43238,2480,Dessel,House,residence,389000,for sale,3,189,1,0,0,1,24,1,204,532,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2058
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbh77297,8370,Blankenberge,Apartment,apartment,290000,for sale,1,93,1,0,0,1,13,0,0,500,2,1,4,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3118
https://immovlan.be/en/detail/apartment/for-sale/4420/saint-nicolas/vbd94038,4420,Saint-Nicolas,Apartment,apartment,175000,for sale,2,107,1,0,0,0,0,0,0,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1636
https://immovlan.be/en/detail/residence/for-sale/6180/courcelles/vbd93244,6180,Courcelles,House,residence,259900,for sale,3,165,1,0,0,1,25,1,300,397,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1575
https://immovlan.be/en/detail/bungalow/for-sale/3570/alken/rbu79089,3570,Alken,House,bungalow,295000,for sale,3,168,1,0,0,1,20,1,204,771,4,0,1,Flanders,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1756
https://immovlan.be/en/detail/penthouse/for-sale/1050/elsene/vbd66164,1050,Elsene,Apartment,penthouse,999000,for sale,4,370,1,0,0,1,100,0,70,500,2,0,1,Brussels,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2700
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbu98049,8370,Blankenberge,Apartment,apartment,229900,for sale,2,80,1,0,0,0,0,1,70,500,2,0,1,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2874
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbc96389,1180,Ukkel,Apartment,apartment,330000,for sale,1,70,1,0,0,1,5,1,70,500,4,0,1,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4714
https://immovlan.be/en/detail/residence/for-sale/6030/goutroux/vbd89605,6030,Goutroux,House,residence,249000,for sale,2,135,2,0,0,1,27,1,490,258,2,0,2,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1844
https://immovlan.be/en/detail/villa/for-sale/1830/machelen/vbd95579,1830,Machelen,House,villa,675000,for sale,3,180,2,0,1,1,30,1,1200,1550,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3750
https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu65754,3580,Beringen,House,residence,295000,for sale,4,184,1,0,0,0,0,0,0,385,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1603
